ID,LGA_ID
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,7
23,22
24,13
25,13
26,23
27,24
28,24
29,25
30,26
31,27
32,28
33,4
34,4
35,29
36,30
37,31
38,32
39,33
40,15
41,34
42,27
43,22
44,29
45,35
46,35
47,36
48,37
49,38
50,39
51,40
52,40
53,41
54,41
55,42
56,43
57,44
58,14
59,45
60,46
61,47
62,48
63,49
64,50
65,51
66,52
67,48
68,53
69,54
70,27
71,55
72,56
73,36
74,57
75,58
76,59
77,38
78,60
79,61
80,62
81,63
82,56
83,64
84,14
85,65
86,66
87,26
88,26
89,7
90,67
91,68
92,69
93,70
94,54
95,71
96,37
97,52
98,72
99,67
100,73
101,72
102,74
103,75
104,74
105,76
106,76
107,52
108,52
109,77
110,56
111,25
112,78
113,79
114,58
115,80
116,81
117,82
118,83
119,84
120,84
121,85
122,86
123,87
124,88
125,56
126,15
127,22
128,89
129,41
130,58
131,44
132,7
133,7
134,90
135,91
136,64
137,53
138,92
139,93
140,94
141,87
142,95
143,96
144,78
145,75
146,15
147,18
148,18
149,97
150,98
151,74
152,76
153,99
154,2
155,47
156,65
157,14
158,100
159,101
160,102
161,103
162,103
163,1
164,104
165,84
166,105
167,68
168,68
169,67
170,14
171,106
172,107
173,60
174,17
175,108
176,66
177,9
178,82
179,109
180,74
181,74
182,110
183,37
184,80
185,44
186,58
187,111
188,112
189,106
190,58
191,113
192,114
193,53
194,115
195,116
196,117
197,118
198,11
199,116
200,15
201,24
202,119
203,120
204,18
205,99
206,117
207,105
208,121
209,122
210,123
211,53
212,53
213,13
214,13
215,124
216,53
217,68
218,125
219,74
220,116
221,126
222,103
223,127
224,128
225,129
226,129
227,130
228,15
229,79
230,131
231,81
232,132
233,133
234,82
235,119
236,16
237,134
238,118
239,132
240,31
241,135
242,100
243,122
244,136
245,137
246,58
247,56
248,81
249,115
250,138
251,89
252,139
253,140
254,141
255,142
256,16
257,58
258,58
259,53
260,37
261,15
262,37
263,143
264,30
265,30
266,30
267,30
268,144
269,145
270,146
271,27
272,147
273,115
274,148
275,149
276,106
277,106
278,74
279,150
280,130
281,151
282,152
283,69
284,75
285,153
286,131
287,98
288,154
289,84
290,84
291,147
292,155
293,61
294,156
295,157
296,135
297,60
298,92
299,158
300,83
301,159
302,58
303,160
304,74
305,72
306,73
307,78
308,135
309,161
310,162
311,18
312,44
313,78
314,51
315,163
316,164
317,165
318,143
319,54
320,135
321,135
322,166
323,166
324,167
325,103
326,43
327,144
328,135
329,168
330,48
331,48
332,35
333,76
334,169
335,170
336,104
337,27
338,15
339,138
340,21
341,78
342,171
343,172
344,106
345,173
346,174
347,175
348,176
349,138
350,150
351,16
352,177
353,178
354,74
355,74
356,116
357,179
358,155
359,4
360,38
361,144
362,144
363,151
364,180
365,106
366,158
367,81
368,150
369,76
370,181
371,121
372,69
373,60
374,60
375,60
376,182
377,154
378,164
379,24
380,183
381,184
382,25
383,32
384,185
385,103
386,186
387,187
388,20
389,6
390,188
391,69
392,26
393,27
394,83
395,48
396,116
397,103
398,26
399,75
400,47
401,24
402,189
403,189
404,190
405,190
406,27
407,15
408,191
409,66
410,66
411,44
412,175
413,169
414,40
415,192
416,193
417,81
418,194
419,104
420,136
421,136
422,84
423,84
424,195
425,196
426,167
427,197
428,197
429,198
430,116
431,56
432,56
433,199
434,42
435,200
436,88
437,139
438,94
439,95
440,111
441,201
442,161
443,91
444,91
445,91
446,116
447,202
448,202
449,203
450,106
451,35
452,19
453,58
454,60
455,81
456,65
457,141
458,204
459,204
460,31
461,58
462,205
463,53
464,157
465,146
466,77
467,206
468,41
469,74
470,72
471,207
472,106
473,34
474,165
475,152
476,208
477,132
478,31
479,168
480,48
481,48
482,158
483,37
484,72
485,41
486,36
487,58
488,39
489,91
490,186
491,186
492,166
493,68
494,190
495,176
496,144
497,53
498,53
499,41
500,206
501,183
502,209
503,115
504,37
505,126
506,208
507,58
508,58
509,65
510,107
511,210
512,78
513,78
514,78
515,135
516,75
517,206
518,32
519,66
520,94
521,30
522,141
523,35
524,103
525,108
526,211
527,211
528,58
529,171
530,41
531,20
532,153
533,60
534,60
535,60
536,42
537,98
538,41
539,212
540,32
541,213
542,150
543,32
544,27
545,44
546,44
547,180
548,53
549,42
550,81
551,81
552,166
553,214
554,214
555,58
556,81
557,71
558,103
559,141
560,82
561,121
562,187
563,42
