ID,Remoteness_ID
1,1
2,1
3,1
4,2
5,1
6,2
7,1
8,1
9,2
10,2
11,3
12,1
13,2
14,2
15,3
16,3
17,2
18,2
19,2
20,3
21,2
22,2
23,1
24,2
25,2
26,1
27,2
28,2
29,2
30,1
31,3
32,2
33,1
34,1
35,1
36,2
37,1
38,4
39,3
40,3
41,2
42,1
43,1
44,1
45,5
46,5
47,2
48,3
49,2
50,1
51,2
52,2
53,1
54,1
55,3
56,5
57,3
58,2
59,2
60,4
61,1
62,2
63,5
64,3
65,3
66,1
67,2
68,1
69,1
70,1
71,1
72,1
73,2
74,3
75,3
76,2
77,2
78,2
79,3
80,1
81,5
82,1
83,3
84,2
85,3
86,1
87,1
88,1
89,1
90,1
91,1
92,3
93,2
94,1
95,3
96,3
97,1
98,3
99,1
100,4
101,3
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,2
110,1
111,2
112,2
113,3
114,3
115,2
116,3
117,3
118,3
119,2
120,2
121,3
122,2
123,3
124,2
125,1
126,3
127,1
128,2
129,1
130,3
131,3
132,1
133,1
134,1
135,1
136,3
137,3
138,1
139,3
140,1
141,1
142,1
143,1
144,2
145,1
146,1
147,1
148,1
149,5
150,1
151,2
152,3
153,1
154,1
155,1
156,3
157,2
158,1
159,4
160,1
161,2
162,2
163,1
164,1
165,2
166,3
167,1
168,1
169,1
170,2
171,3
172,2
173,2
174,2
175,3
176,3
177,2
178,3
179,3
180,1
181,1
182,1
183,3
184,1
185,3
186,3
187,1
188,5
189,3
190,3
191,5
192,2
193,3
194,1
195,1
196,1
197,5
198,3
199,1
200,3
201,1
202,3
203,4
204,2
205,2
206,1
207,3
208,1
209,2
210,3
211,3
212,3
213,2
214,2
215,1
216,3
217,2
218,1
219,1
220,1
221,3
222,2
223,2
224,2
225,3
226,3
227,1
228,3
229,3
230,1
231,3
232,3
233,3
234,3
235,1
236,3
237,1
238,2
239,3
240,1
241,1
242,1
243,2
244,1
245,1
246,3
247,1
248,3
249,3
250,1
251,2
252,1
253,3
254,1
255,3
256,3
257,3
258,3
259,3
260,3
261,3
262,3
263,1
264,2
265,2
266,2
267,2
268,1
269,3
270,2
271,3
272,2
273,1
274,2
275,1
276,3
277,3
278,1
279,3
280,1
281,1
282,1
283,1
284,1
285,3
286,1
287,3
288,2
289,5
290,5
291,2
292,3
293,3
294,3
295,1
296,1
297,2
298,2
299,3
300,3
301,2
302,3
303,3
304,1
305,1
306,4
307,2
308,1
309,3
310,4
311,1
312,3
313,2
314,3
315,4
316,3
317,2
318,1
319,1
320,1
321,1
322,3
323,3
324,2
325,2
326,2
327,1
328,3
329,1
330,2
331,2
332,4
333,3
334,1
335,3
336,1
337,3
338,3
339,3
340,1
341,2
342,3
343,3
344,3
345,1
346,5
347,2
348,3
349,3
350,3
351,3
352,3
353,4
354,1
355,1
356,1
357,2
358,3
359,2
360,2
361,1
362,1
363,1
364,1
365,3
366,3
367,3
368,3
369,3
370,3
371,3
372,3
373,2
374,2
375,2
376,1
377,2
378,3
379,2
380,1
381,3
382,2
383,4
384,2
385,2
386,1
387,3
388,3
389,2
390,3
391,3
392,1
393,3
394,3
395,2
396,1
397,2
398,1
399,1
400,1
401,2
402,2
403,2
404,1
405,1
406,3
407,3
408,4
409,3
410,1
411,3
412,2
413,1
414,2
415,1
416,3
417,3
418,1
419,1
420,1
421,1
422,2
423,2
424,2
425,2
426,2
427,2
428,2
429,2
430,1
431,1
432,1
433,2
434,3
435,3
436,2
437,1
438,1
439,1
440,1
441,1
442,3
443,1
444,1
445,1
446,1
447,1
448,1
449,5
450,3
451,4
452,2
453,3
454,2
455,3
456,3
457,1
458,1
459,1
460,1
461,3
462,2
463,3
464,1
465,2
466,2
467,3
468,1
469,1
470,3
471,2
472,3
473,2
474,2
475,1
476,3
477,3
478,1
479,1
480,2
481,2
482,3
483,3
484,3
485,2
486,2
487,3
488,1
489,1
490,1
491,1
492,3
493,1
494,1
495,3
496,1
497,3
498,3
499,2
500,3
501,3
502,3
503,3
504,3
505,3
506,3
507,3
508,3
509,3
510,2
511,2
512,2
513,2
514,2
515,3
516,2
517,3
518,5
519,1
520,1
521,2
522,1
523,4
524,1
525,1
526,5
527,5
528,3
529,3
530,1
531,3
532,3
533,2
534,2
535,2
536,3
537,1
538,1
539,3
540,5
541,3
542,3
543,4
544,3
545,3
546,3
547,1
548,3
549,3
550,1
551,3
552,3
553,2
554,2
555,3
556,3
557,1
558,2
559,1
560,3
561,1
562,3
563,3
564,3
565,2
566,4
567,1
568,3
569,3
570,3
571,3
572,2
573,1
574,1
575,1
576,1
577,3
578,1
579,1
580,1
581,2
582,3
583,3
584,1
585,3
586,3
587,1
588,3
589,3
590,1
591,1
592,2
593,3
594,5
595,1
596,3
597,3
598,1
599,1
600,3
