ID,RoadType_ID
1,1
2,2
3,2
4,3
5,3
6,4
7,2
8,2
9,3
10,2
11,3
12,3
13,2
14,5
15,3
16,5
17,3
18,3
19,1
20,5
21,3
22,2
23,4
24,3
25,3
26,3
27,3
28,3
29,2
30,1
31,4
32,3
33,2
34,2
35,3
36,3
37,2
38,2
39,5
40,5
41,4
42,2
43,4
44,4
45,4
46,4
47,3
48,1
49,1
50,1
51,1
52,1
53,5
54,5
55,1
56,3
57,3
58,5
59,3
60,2
61,4
62,3
63,5
64,1
65,2
66,3
67,5
68,3
69,3
70,3
71,4
72,3
73,3
74,1
75,4
76,3
77,4
78,2
79,3
80,3
81,5
82,4
83,5
84,2
85,2
86,4
87,1
88,1
89,2
90,4
91,1
92,5
93,1
94,4
95,1
96,2
97,2
98,1
99,1
100,4
101,4
102,1
103,6
104,3
105,4
106,4
107,1
108,1
109,3
110,5
111,3
112,4
113,1
114,2
115,1
116,5
117,1
118,4
119,3
120,3
121,2
122,3
123,2
124,3
125,3
126,3
127,2
128,3
129,2
130,4
131,1
132,3
133,3
134,2
135,3
136,5
137,2
138,2
139,1
140,3
141,1
142,3
143,1
144,4
145,3
146,1
147,5
148,5
149,3
150,1
151,4
152,3
153,3
154,1
155,1
156,5
157,3
158,1
159,4
160,2
161,3
162,3
163,4
164,3
165,3
166,3
167,3
168,3
169,4
170,4
171,2
172,2
173,3
174,1
175,4
176,1
177,3
178,1
179,5
180,1
181,1
182,2
183,1
184,2
185,3
186,5
187,2
188,3
189,3
190,4
191,3
192,3
193,4
194,1
195,3
196,2
197,7
198,3
199,4
200,5
201,5
202,3
203,3
204,2
205,3
206,4
207,5
208,4
209,3
210,4
211,2
212,2
213,3
214,3
215,1
216,4
217,2
218,1
219,3
220,4
221,1
222,5
223,1
224,4
225,3
226,3
227,3
228,3
229,2
230,3
231,4
232,1
233,4
234,5
235,5
236,5
237,3
238,2
239,2
240,5
241,4
242,7
243,1
244,2
245,1
246,4
247,4
248,5
249,2
250,3
251,4
252,2
253,5
254,4
255,4
256,1
257,3
258,3
259,2
260,1
261,3
262,1
263,2
264,3
265,3
266,3
267,3
268,4
269,4
270,2
271,2
272,4
273,4
274,2
275,2
276,7
277,7
278,1
279,2
280,4
281,4
282,2
283,7
284,2
285,2
286,1
287,2
288,3
289,4
290,4
291,3
292,5
293,2
294,4
295,1
296,1
297,3
298,2
299,3
300,2
301,3
302,4
303,2
304,4
305,1
306,2
307,2
308,2
309,1
310,3
311,2
312,2
313,2
314,5
315,2
316,1
317,3
318,3
319,4
320,3
321,2
322,1
323,1
324,2
325,3
326,3
327,1
328,4
329,1
330,3
331,3
332,4
333,4
334,1
335,1
336,3
337,2
338,3
339,1
340,1
341,4
342,2
343,1
344,4
345,3
346,3
347,1
348,1
349,1
350,5
351,2
352,5
353,1
354,4
355,4
356,5
357,1
358,6
359,7
360,1
361,4
362,4
363,1
364,4
365,3
366,2
367,2
368,2
369,2
370,4
371,5
372,3
373,4
374,4
375,4
376,5
377,3
378,2
379,3
380,5
381,4
382,2
383,3
384,5
385,3
386,3
387,1
388,1
389,4
390,5
391,1
392,1
393,4
394,1
395,4
396,3
397,4
398,1
399,2
400,4
401,4
402,3
403,3
404,3
405,3
406,5
407,3
408,3
409,1
410,4
411,3
412,1
413,1
414,3
415,3
416,5
417,2
418,2
419,4
420,4
421,4
422,3
423,3
424,4
425,2
426,3
427,7
428,7
429,5
430,4
431,3
432,3
433,1
434,2
435,1
436,4
437,4
438,4
439,4
440,2
441,2
442,1
443,1
444,1
445,1
446,4
447,2
448,2
449,3
450,4
451,2
452,4
453,4
454,2
455,5
456,5
457,1
458,1
459,1
460,3
461,2
462,2
463,2
464,5
465,1
466,1
467,5
468,5
469,3
470,2
471,4
472,5
473,2
474,4
475,2
476,1
477,1
478,3
479,3
480,3
481,3
482,4
483,3
484,1
485,3
486,4
487,4
488,1
489,1
490,1
491,1
492,1
493,4
494,2
495,1
496,2
497,5
498,5
499,5
500,3
501,3
502,5
503,1
504,1
505,3
506,3
507,5
508,5
509,4
510,1
511,2
512,4
513,4
514,4
515,5
516,3
517,4
518,3
519,1
520,3
521,3
522,4
523,2
524,3
525,4
526,5
527,2
528,6
529,2
530,2
531,1
532,1
533,3
534,3
535,3
536,5
537,1
538,3
539,3
540,4
541,5
542,4
543,3
544,2
545,7
546,5
547,3
548,4
549,3
550,4
551,4
552,1
553,3
554,3
555,3
556,4
557,3
558,3
559,3
560,5
561,2
562,1
563,2
